gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2382617459,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:UCRC:ENT:286593,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,1.5 mi W of Greenburg,Pennsylvania,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,40.3075,-79.56639,3000,,,,,,7/7/1980 0:00,7,7,1980,1340481,1340481,PRESERVED_SPECIMEN,UCRC,ENT,UCRCENT286593,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382617286,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:UCRC:ENT:286586,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,1.5 mi W of Greenburg,Pennsylvania,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,40.3075,-79.56639,3000,,,,,,8/9/1980 0:00,9,8,1980,1340481,1340481,PRESERVED_SPECIMEN,UCRC,ENT,UCRCENT286586,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382616628,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:UCRC:ENT:286595,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,Mille Lacs Lake,Minnesota,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,46.26667,-93.62306,20000,,,,,,10/2/1938 0:00,2,10,1938,1340481,1340481,PRESERVED_SPECIMEN,UCRC,ENT,UCRCENT286595,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382614671,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:663,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,near Elgin,Illinois,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,42.03722,-88.28111,5000,,,,,,8/11/1979 0:00,11,8,1979,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT663,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382614355,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:664,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,near Elgin,Illinois,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,42.03722,-88.28111,5000,,,,,,8/11/1979 0:00,11,8,1979,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT664,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382614169,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:JPS:JPS:9670,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,3 mi N of Alexandria,Minnesota,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,45.93083,-95.31583,500,,,,,,9/19/1992 0:00,19,9,1992,1340481,1340481,PRESERVED_SPECIMEN,JPS,JPS,JPS9670,,,,CC_BY_4_0,,R. Worley,,,7/1/2020 16:04,,
2382614084,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:641,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,Rockford,Illinois,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,42.27111,-89.09389,2000,,,,,,6/27/1975 0:00,27,6,1975,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT641,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382613855,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:643,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,Rockford,Illinois,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,42.27111,-89.09389,2000,,,,,,6/21/1975 0:00,21,6,1975,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT643,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382613832,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:JPS:JPS:9638,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Minnesota,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,46.87778,-96.50417,38000,,,,,,8/8/1957 0:00,8,8,1957,1340481,1340481,PRESERVED_SPECIMEN,JPS,JPS,JPS9638,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382613743,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:665,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,near Elgin,Illinois,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,42.03722,-88.28111,5000,,,,,,8/11/1979 0:00,11,8,1979,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT665,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382613272,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:662,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,near Elgin,Illinois,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,42.03722,-88.28111,5000,,,,,,8/11/1979 0:00,11,8,1979,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT662,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382613247,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:666,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,near Elgin,Illinois,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,42.03722,-88.28111,5000,,,,,,8/11/1979 0:00,11,8,1979,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT666,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382613042,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:645,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,Tomahawk,Wisconsin,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,45.47083,-89.72972,5000,,,,,,8/4/1971 0:00,4,8,1971,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT645,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382612926,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:642,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,Rockford,Illinois,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,42.27111,-89.09389,2000,,,,,,6/27/1975 0:00,27,6,1975,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT642,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382612855,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:640,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,Rockford,Illinois,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,42.27111,-89.09389,2000,,,,,,6/21/1975 0:00,21,6,1975,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT640,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
2382612368,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:LACM:ENT:644,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,Tomahawk,Wisconsin,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,45.47083,-89.72972,5000,,,,,,8/4/1971 0:00,4,8,1971,1340481,1340481,PRESERVED_SPECIMEN,LACM,ENT,LACMENT644,,,,CC_BY_4_0,,,,,7/1/2020 16:04,,
